id,TimeOfStop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,PersonalInjury,ProperyDamage,Fatal,CommercialLicense,HAZMAT,CommercialVehicle,Alcohol,WorkZOne,State,VehicleType,Year,Make,Model,Color,Charge,Article,ContributedToAccident,Race,Gender,DriverCity,DriverState,DLState,ArrestType,Geolocation,Citation
15,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING MAXIMUM SPEED 67 MPH IN A POSTED 55 MPH ZONE,I270 SB BTWN I370 AND SHADY GROVE RD,-77.18058333,39.10286167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,TOYOTA,COROLLA,SILVER,21-801.1,Transportation Article,No,WHITE,F,CLARKSBURG,MD,MD,M - Marked ,,Yes
16,00:00:00,MCP,Headquarters and Special Operations,DRIVER SPINNING WHEELS,WASHINGTON BLVD  SAM EIGH HWY,39.11361167,-77.23563333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,FORD,RAPTOR,BLACK,21-1117,Transportation Article,No,ASIAN,M,FREDERICK,MD,MD,A - Marked Patrol,,Yes
17,00:00:00,MCP,Headquarters and Special Operations,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106 26-204 26-206 27-103,OLD COLUMBIA PIKE AT FAIRLAND RD,39.07386333,-76.95913333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,NISSAN,ALTIMA,SILVER,16-303,Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,B - Unmarked Patrol,,Yes
18,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.,CONNECTICUT AVE  I-495 RAMP,-77.07654167,39.02222833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,CADI,CTS 4S,WHITE,13-410,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,,No
19,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,355 AND OLD GEORGETOWN,39.11375667,-77.23649333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,KIA,SOUL,BLACK,21-309,Transportation Article,No,BLACK,F,BETHESDA,MD,MD,A - Marked Patrol,,Yes
20,00:00:00,MCP,Headquarters and Special Operations,FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH,UNIVERSITY BLVD AT CADDINGTON DR,NA,NA,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,TOYOTA,RAV4,GRAY,21-405,Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,,No
21,00:00:00,MCP,Headquarters and Special Operations,HOLDER OF LEARNERS PERMIT DRIVING WO REQ. SUPERVISION,WAINRIGHT AVE  RIDGWAY AVE,39.06731167,-77.11939167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997,TOYOTA,COROLLA,WHITE,16-105,Transportation Article,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,,Yes
22,00:00:00,MCP,Headquarters and Special Operations,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106 26-204 26-206 27-103,4601 CHESTNUT ST,38.98478833,-77.0927,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,HONDA,CRV,SILVER,16-303,Transportation Article,No,WHITE,F,BETHESDA,MD,MD,A - Marked Patrol,,Yes
24,00:00:00,MCP,Headquarters and Special Operations,DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,EB ICC  370 MM 1.6,39.122585,-77.17861,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,TOYT,CAQMRY LE,GREEN DK,21-1124.2,Transportation Article,No,WHITE,M,LAYTONSVILLE,MD,MD,A - Marked Patrol,,No
26,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,FLOWER HILL WAY 124,39.15642333,-77.16411333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,HYUNDAI,VELSTAR,WHITE,21-201,Transportation Article,No,WHITE,M,DERWOOD,MD,MD,B - Unmarked Patrol,,No
28,00:00:00,MCP,Headquarters and Special Operations,WINDOW TINT,E JEFFERSON ST  CONGRESSIONAL LA,39.06134,-77.12832833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000,DODGE,SUV,GREEN,61,,No,BLACK,M,BRYANS ROAD,MD,MD,A - Marked Patrol,,No
29,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,ASPEN HILL RD  VEIRS MILL RD,39.07151833,-77.09832,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,TOYT,4RUNNER SUV,WHITE,21-801.1,Transportation Article,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,,Yes
30,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,SB 270 AT MONTROSE RD,NA,NA,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,TOYOTA,CAMRY,RED,13-409,Transportation Article,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,,Yes
31,00:00:00,MCP,Headquarters and Special Operations,DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,STEWART LNNOVEMBER CIR,39.13642333,-77.41236,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,HYUNDAI,ELANTRA,SILVER,16-101,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,,Yes
32,00:00:00,MCP,Headquarters and Special Operations,OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,REEDIE DR AT VEIRS MILL ROAD,39.038015,-77.053785,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,RANG,LR2,SILVER,22-406,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,,No
33,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,RANDOLPH RD  BUSHEY DR,39.05763167,-77.07779667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,NISS,4S,GOLD,21-301,Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,,Yes
35,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,OLD GEORGETOWN AND HUNTINTON,38.99680667,-77.10906333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,HOND,VN,SILVER,21-801.1,Transportation Article,No,WHITE,M,CHEVY CHASE,MD,MD,E - Marked Stationary Radar,,No
36,00:00:00,MCP,Headquarters and Special Operations,WILLFULLY DISOBEYING LAWFUL ORDER AND DIRECTION OF POLICE OFFICER,NB GEORGIA  SEMINARY,39.006425,-77.070995,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,ACUR,MDX,BLACK,21-103,Transportation Article,No,WHITE,M,BROOKEVILLE,MD,MD,A - Marked Patrol,,Yes
37,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH,WB MD 200  SHADY GROVE RD,39.13869333,-77.14074167,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2008,GMC,ENVOY,WHITE,21-801.1,Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,B - Unmarked Patrol,,No
38,00:00:00,MCP,Headquarters and Special Operations,NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,I-270 NB  W MONTGOMERY AVE,39.09259667,-77.18218333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,BMW,TK,BLACK,21-901.1,Transportation Article,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,,Yes
39,00:00:00,MCP,Headquarters and Special Operations,PROHIBITED DOUBLE PARKING,KENTLANDS SC  GIANT,39.12599,-77.23961333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,UPS,TRUCK,BROWN,21-1003,Transportation Article,No,WHITE,M,NORTH POTOMAC,MD,MD,A - Marked Patrol,,No
40,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO PROPERLY PLACE REGISTRATION PLATE TO VEHICLE,OFF RAMP FROM SB 270 TO 124,39.148235,-77.21863667,No,No,No,No,No,Yes,No,No,No,No,IA,02 - Automobile,2013,FRHT,LG TRUCK,WHITE,13-411,Transportation Article,No,WHITE,M,ABINGDON,MD,MD,A - Marked Patrol,,Yes
43,00:00:00,MCP,Headquarters and Special Operations,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,NB FREDERICK RD  SCENERY DR,-77.238,39.175505,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015,TOYOTA,TACOMA,WHITE,16-101,Transportation Article,No,HISPANIC,F,GAITHERSBURG,MD,XX,A - Marked Patrol,,Yes
44,00:00:00,MCP,Headquarters and Special Operations,DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,VEIRS MILL RD  ARBUTUS AVE,39.06379833,-77.09567167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,HOND,CIVIC 4S,SILVER,21-902,Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,,Yes
47,00:00:00,MCP,Headquarters and Special Operations,FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH,OLD GEORGETOWN RD  LINCOLN ST,38.98364833,-77.09591333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007,TOYOTA,4-RUNNER SU,SILVER,21-405,Transportation Article,No,WHITE,M,DERWOOD,MD,MD,A - Marked Patrol,,Yes
48,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,LELAND46ST,38.98037167,-77.08917833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,HOND,ACCORD,SILVER,21-201,Transportation Article,No,WHITE,M,CHEVY CHASE,MD,MD,B - Unmarked Patrol,,No
49,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEH. WO ADEQUATE REAR REG. PLATE ILLUMINATION,OLD COLUMBIA PIKE AT FAIRLAND RD,39.07698167,-76.95728667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,JEEP,GRAND CHEROKEE,GREEN,22-204,Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,,No
50,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,NB GEORGIA AVENUE  ARCOLA AVE,39.04580333,-77.05203167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1984,TOYO,2S,SILVER,13-411,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,,Yes
51,00:00:00,MCP,Headquarters and Special Operations,DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,COSTCO  880 RUSSELL AVE,39.15577667,-77.21306167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1994,DODG,4X4 PKTK W CAB,GREEN,16-101,Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,,Yes
52,00:00:00,MCP,Headquarters and Special Operations,DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,ST ELMO AND NORFOLK,38.99073167,-77.09654,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,MERZ,CLA250,WHITE,16-101,Transportation Article,No,ASIAN,F,BETHESDA,MD,MD,A - Marked Patrol,,Yes
53,00:00:00,MCP,Headquarters and Special Operations,DRIVING WHILE IMPAIRED BY ALCOHOL,QUINCE ORCHARD AND FIRSTFIELD,39.14927667,-77.23319833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,HONDA,2DR,BLACK,21-902,Transportation Article,No,ASIAN,M,LOVETTSVILLE,VA,MD,A - Marked Patrol,,Yes
54,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO STOP AT STOP SIGN LINE,COPLEY PL AND FIELDS RD,39.11894833,-77.24272667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,ACURA,MDX,BLACK,21-707,Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,,Yes
55,00:00:00,MCP,Headquarters and Special Operations,DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,MD80MD27,39.31817333,-77.19854833,No,No,No,No,No,No,No,No,No,No,MD,06 - Heavy Duty Truck,2015,DODGE,RAM,WHITE,11-391.41,Maryland Rules,No,WHITE,M,GAITHERSBURG,MD,MD,B - Unmarked Patrol,,No
56,00:00:00,MCP,Headquarters and Special Operations,DRIVER PASSING VEH. STOPPED FOR PEDESTRIAN AT CROSSWALK,MUDDY BRANCH AND SUFFIELD,39.112485,-77.21675667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008,HOND,TK,SILVER,21-502,Transportation Article,No,WHITE,M,NORTH POTOMAC,MD,MD,A - Marked Patrol,,Yes
57,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO PROPERLY EQUIP  LOCATE HEADLAMPS ON MOTOR VEH.,GEORGIA AVE  UNIVERSITY BLVD,39.04283833,-77.05188667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002,TOYT,4D,BLACK,22-203,Transportation Article,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,,No
58,00:00:00,MCP,Headquarters and Special Operations,WINDOW TINT,FIELDS AND RIO,-77.2064,39.1163,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,HOND,4S,SILVER,61,,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,,No
61,00:00:00,MCP,Headquarters and Special Operations,"DOOR 
LATCHHANDLE ",NORBECK RD  GEORGIA AVE,39.110745,-77.07434,No,No,No,No,No,Yes,No,No,No,No,MD,06 - Heavy Duty Truck,1999,INTL,DS DUMP TK,BLUE,69*,,No,WHITE,M,LAUREL,MD,MD,A - Marked Patrol,,No
62,00:00:00,MCP,Headquarters and Special Operations,FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND,WOODMONT AND FAIRMONT,38.983685,-77.092855,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,MERCEDES,S340,BLACK,22-201.1,Transportation Article,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,,Yes
63,00:00:00,MCP,Headquarters and Special Operations,FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,MCKNEW RD  CEDAR TREE DR,39.101165,-76.92217167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005,HONDA,ACC 4D,GRAY,16-116,Transportation Article,No,WHITE,M,BURTONSVILLE,MD,MD,A - Marked Patrol,,No
64,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,SB GREAT SENECA HWY  MUDDY BRANCH RD,39.10876333,-77.2127,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,GMC,VAN,WHITE,21-204,Transportation Article,No,BLACK,M,BALTIMORE,MD,MD,A - Marked Patrol,,No
65,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,8600 BLK BARRON ST,NA,NA,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009,TOYT,CAMRY,GOLD,21-301,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,,Yes
66,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 55 MPH ZONE,IL 495 AT RIVER RD,NA,NA,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2010,BUICK,LACROSSE,WHITE,21-801.1,Transportation Article,No,BLACK,F,NEWPORT NEWS,VA,VA,A - Marked Patrol,,Yes
67,00:00:00,MCP,Headquarters and Special Operations,FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,E GUDE DR  DOVER RD,39.10212833,-77.14189,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003,CHEVY,EXPRESS,WHITE,16-112,Transportation Article,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,,Yes
68,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,MUNCASTER MILL RD  WILLOW OAK DR,39.16374,-77.11997833,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001,HOND,4S,SILVER,21-801.1,Transportation Article,No,WHITE,M,OLNEY,MD,MD,A - Marked Patrol,,No
69,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,WB RANDOLPH RD  NEW HAMPSHIRE AVE,39.07245167,-77.009845,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2001,CHEVY,TK,WHITE,13-401,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,,No
70,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,NB GEORGIA AVE  HENDERSON AVE,39.05854,-77.04800333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010,HONDA,2S,BLUE,21-902,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,,Yes
72,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,OAKMONT ST  RAILROAD ST,-77.17602,39.13420667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,HONDA,ACCORD,BLUE DARK,21-801.1,Transportation Article,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,,No
74,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,FREDERICK RD  GUNNERS BRANCH RD,39.17518,-77.23864167,No,No,No,No,No,No,No,No,No,No,MD,28 - Other,2003,VOLK,VN EUROVAN,SILVER,21-201,Transportation Article,No,WHITE,M,FREDERICK,MD,MD,A - Marked Patrol,,No
76,00:00:00,MCP,Headquarters and Special Operations,DRIVING WHILE IMPAIRED BY ALCOHOL,PINEY BRANCH ROAD AT CARROL AVENUE,39.04535167,-76.99138333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,TOYOTA,CAMRY,WHITE,21-902,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,,Yes
77,00:00:00,MCP,Headquarters and Special Operations,RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,CONNECTICUT AVE  INDEPENDENCE,39.07026667,-77.07630333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,CADILAC,4DR,BLACK,21-901.1,Transportation Article,No,HISPANIC,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,,No
78,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,PINEY BRANCH  SLIGO,38.99072833,-77.01056667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1995,TOYOTA,4RUNNER,GREEN DK,21-301,Transportation Article,No,HISPANIC,M,BELTSVILLE,MD,MD,A - Marked Patrol,,No
79,00:00:00,MCP,Headquarters and Special Operations,DRIVER CHANGING LANES WHEN UNSAFE,CRABBS BRANCHSHADY GROVE ROAD,39.12929333,-77.16781167,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2013,FORD,TK,GRAY,21-309,Transportation Article,No,WHITE,M,HANOVER,MD,MD,A - Marked Patrol,,Yes
80,00:00:00,MCP,Headquarters and Special Operations,TAG LIGHTS ,DARNESTOWN RD  WINDY KNOLL CT,39.09201333,-77.192,No,No,No,No,No,Yes,No,No,No,No,MD,06 - Heavy Duty Truck,2005,PETE,TK DUMP,BLUE,65*,,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,,No
81,00:00:00,MCP,Headquarters and Special Operations,FAILURE TO ATTACH VEH. REG. PLATES AT FRONT AND REAR,OFF RAMP FROM NB 270 TO EB 124,39.14952,-77.21465167,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004,MITS,GALANT 4S,WHITE,13-411,Transportation Article,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,,Yes
84,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,28 AT ARGOSY DR,NA,NA,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2007,TOYOTA,CAMRY,SILVER,21-801.1,Transportation Article,No,BLACK,F,CLARKSBURG,MD,MD,A - Marked Patrol,,Yes
85,00:00:00,MCP,Headquarters and Special Operations,FAILING TO DISPLAY PROPER VEHICLE I.D.,MUDDY BRANCH RD DARNESTOWN RD,39.10389167,-77.22014833,No,No,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2004,FORD,F450,WHITE,11-390.21,Maryland Rules,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,,No
87,00:00:00,MCP,Headquarters and Special Operations,MOTOR VEH. WO REQUIRED STOP LAMPS EQUIPMENT,SB GEORGIA  URBANA DR,39.05462333,-77.05053,No,No,No,No,No,No,No,No,No,Yes,MD,02 - Automobile,2003,HOND,ODYSSEY VN,SILVER,22-206,Transportation Article,No,WHITE,M,HYATTSVILLE,MD,MD,A - Marked Patrol,,No
89,00:00:00,MCP,Headquarters and Special Operations,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,BEL PRE RD PARKER FARM WAY,39.09043333,-77.048925,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006,BMW,650,BLUE,16-303,Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,,Yes
